trial,latency_us,light
1,18960,62
2,23038,224
3,21221,171
4,20146,150
5,20677,144
6,21105,80
7,21516,68
8,21495,168
9,19706,135
10,18011,88
11,21780,124
12,17637,133
13,18033,224
14,19472,109
15,21690,92
16,18643,117
17,20684,167
18,19258,96
19,19200,100
20,19629,99
21,18950,53
22,18553,79
23,20999,80
24,20404,61
25,20617,134
