trial,latency_us,light
1,23409,155
2,19194,93
3,20518,159
4,21044,260
5,21549,85
6,19101,99
7,20927,86
8,21234,94
9,19488,243
10,20067,128
11,21474,138
12,21839,173
13,19829,134
14,20410,58
15,19865,216
16,19012,122
17,19117,57
18,20417,70
19,21967,199
20,21809,172
21,20749,65
22,20605,58
23,21157,146
24,19432,123
25,19816,82
