trial,latency_us,light
1,20182,134
2,20353,119
3,20753,89
4,24213,162
5,22071,160
6,19601,155
7,24752,174
8,20969,125
9,17996,136
10,18369,86
11,20080,75
12,21133,106
13,20955,124
14,22155,247
15,23956,65
16,20203,134
17,21308,78
18,22450,103
19,23151,119
20,20869,93
21,21826,272
22,23620,106
23,21841,115
24,21030,118
25,19285,104
