trial,latency_us,light
1,15920,92
2,20494,254
3,24975,239
4,12412,287
5,16655,294
6,21373,289
7,25987,139
8,13533,242
9,18986,84
10,24987,389
11,13774,247
12,18734,276
13,24655,236
14,12814,333
15,17274,393
16,39535,255
17,9935,373
18,14987,397
19,19854,287
20,23987,207
21,12259,353
22,16900,252
23,21935,256
24,9986,106
25,14812,260
26,19146,205
27,24252,259
28,12654,261
29,17824,424
30,22575,211
31,10912,258
32,16654,323
33,21987,218
34,10255,221
35,14987,157
36,21615,266
37,9532,205
38,15694,226
39,20893,242
40,8814,251
41,13663,322
42,18872,243
43,23925,222
44,11987,226
45,17533,237
46,22492,214
47,28175,400
48,14652,318
49,19987,100
50,8986,136
51,15860,402
52,22255,216
53,10895,286
54,15987,87
55,21361,86
56,9935,199
57,15613,244
58,21295,293
59,9934,218
60,16987,253
61,22972,228
62,10986,432
63,16986,230
64,22734,199
65,10415,240
66,16685,242
67,21295,229
68,9935,300
69,15855,210
70,21295,220
71,8975,279
72,14414,267
73,20986,265
74,9287,116
75,15132,226
76,21294,232
77,9692,238
78,32987,385
79,20955,116
80,10414,381
81,16582,242
82,22191,98
83,11613,231
84,17987,418
85,24174,408
86,11987,103
87,18860,407
88,23449,286
89,11986,189
90,17971,209
91,22986,105
92,11133,227
93,15986,80
94,21986,371
95,10895,288
96,15987,98
97,22735,293
98,10895,262
99,17987,435
100,23485,175
